shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
3011,74,127.819877,26.366059
3011,75,127.819885,26.365929
3011,76,127.819061,26.365227
3011,77,127.818376,26.364977
3011,78,127.81735,26.36446
3011,79,127.817273,26.364121
3011,80,127.817167,26.363996
3011,81,127.817014,26.363946
3011,82,127.816868,26.363965
3011,83,127.816819,26.363971
3011,84,127.8168189,26.36397198
3011,85,127.816816,26.364008
3011,86,127.816688,26.364118
3011,87,127.816576,26.364338
3011,88,127.815682,26.364712
3011,89,127.815485,26.364737
3011,90,127.815129,26.364697
3011,91,127.815077,26.364905
3011,92,127.814964,26.365079
3011,93,127.813324,26.362455
3011,94,127.813142,26.361847
3011,95,127.813258,26.360614
3011,96,127.812659,26.360594
3011,97,127.812648,26.36056
3011,98,127.812639,26.360593
3011,99,127.81113,26.360551
3011,100,127.8104,26.360367
3011,101,127.809963,26.360121
3011,102,127.809561,26.359798
3011,103,127.808927,26.359206
3011,104,127.808481,26.358878
3011,105,127.80747,26.358345
3011,106,127.807043,26.358154
3011,107,127.806054,26.357494
3011,108,127.8053883,26.3570163
3011,109,127.804999,26.356737
3011,110,127.804261,26.356281
3011,111,127.804544,26.355946
3011,112,127.804831,26.355236
3011,113,127.805016,26.354662
3011,114,127.80503,26.354102
3011,115,127.804907,26.353635
3011,116,127.804678,26.353204
3011,117,127.803998,26.35212
3011,118,127.804018,26.352087
3011,119,127.8040178,26.35208705
3011,120,127.803983,26.352098
3011,121,127.803868,26.351914
3011,122,127.803646,26.351463
3011,123,127.803043,26.349868
3011,124,127.80307,26.349796
3011,125,127.803027,26.349824
3011,126,127.802906,26.349503
3011,127,127.802418,26.348438
3011,128,127.801554,26.346824
3011,129,127.799701,26.34367
3011,130,127.799732,26.343639
3011,131,127.799696,26.343662
3011,132,127.799063,26.342585
3011,133,127.799048,26.342395
3011,134,127.79888,26.34187
3011,135,127.798893,26.34091
3011,136,127.798919,26.340887
3011,137,127.798894,26.340888
3011,138,127.7989,26.340446
3011,139,127.798689,26.340088
3011,140,127.79857,26.340042
3011,141,127.798164,26.340182
3011,142,127.798067,26.340565
3011,143,127.797874,26.340659
3011,144,127.796775,26.339107
3011,145,127.796025,26.33773
3011,146,127.79606,26.337608
3011,147,127.7994989,26.33570375
3011,148,127.799791,26.335542
3011,149,127.801092,26.334894
3011,150,127.801928,26.334614
3011,151,127.802412,26.334308
3011,152,127.80347,26.333413
3011,153,127.803618,26.333406
3011,154,127.8045044,26.33408973
3011,155,127.8045154,26.3341005
3012,1,127.80449,26.33411
3012,2,127.804602,26.334163
3012,3,127.805267,26.333531
3012,4,127.80418,26.332704
3012,5,127.803978,26.33283
3012,6,127.802229,26.334249
3012,7,127.801975,26.334421
